,order_id,year,month,day,customer_id,product_id,product_price,discount_percent,is_returned,rating,shipping_cost,payment_method_id,traffic_source_id,revenue,profit
43,44,2024,11,30,17565,1087,643.5,30,0,4.9,18.46,1,5,450.45,431.99
44,45,2025,2,21,14659,7369,454.68,15,0,3.7,20.51,1,5,1545.92,1525.41
45,46,2023,7,9,35929,7111,161.08,20,1,1.0,14.66,5,3,257.72,243.06
46,47,2024,11,17,40104,3369,164.14,10,0,3.0,20.14,5,3,295.46,275.32
47,48,2024,7,16,15730,6983,181.31,25,0,2.3,5.26,2,2,271.96,266.7
48,49,2025,5,25,41298,6959,137.59,40,0,1.7,2.56,2,5,412.75,410.19
49,50,2024,7,20,33547,6228,244.14,30,0,3.7,3.8,2,3,170.9,167.1
50,51,2023,9,1,36359,5476,590.53,30,0,3.4,22.4,5,2,1240.11,1217.71
51,52,2025,4,11,20467,3996,742.72,10,0,1.8,6.01,1,1,668.45,662.44
52,53,2024,5,19,26998,4272,199.03,20,0,2.7,18.59,1,5,159.22,140.63
53,54,2023,5,11,36400,7518,469.39,0,0,1.2,11.68,3,3,938.78,927.1
54,55,2024,4,29,45781,1796,71.79,5,0,3.7,6.58,5,4,341.0,334.42
55,56,2025,3,29,15409,2094,444.28,25,0,1.3,13.74,1,4,999.63,985.89
56,57,2024,10,8,39849,4460,642.93,0,0,3.3,20.29,4,5,1928.79,1908.5
57,58,2023,1,21,21945,6279,513.85,20,0,3.9,15.15,4,2,2055.4,2040.25
58,59,2025,4,20,26542,6479,448.47,20,0,4.8,8.78,1,1,1435.12,1426.34
59,60,2023,6,16,25984,5866,549.43,25,0,2.1,24.52,4,2,2060.35,2035.83
60,61,2023,10,1,39234,7665,281.5,20,1,4.5,7.4,1,4,450.4,443.0
61,62,2024,1,23,10547,3676,491.2,10,0,4.5,5.88,1,4,884.16,878.28
62,63,2024,8,23,12900,3908,52.46,30,0,1.0,14.17,2,1,110.16,95.99
63,64,2023,11,12,18946,3988,229.47,10,0,2.8,21.66,3,2,206.52,184.86
64,65,2023,1,14,27118,4666,134.32,15,0,1.9,3.06,4,5,456.68,453.62
65,66,2023,8,30,41710,5440,626.48,0,0,1.9,19.42,2,5,626.48,607.06
66,67,2025,2,15,21020,1485,96.41,25,1,4.2,7.97,4,3,361.55,353.58
67,68,2023,12,12,14317,4757,566.35,30,0,2.9,23.69,4,3,1982.2,1958.51
68,69,2024,7,18,44692,6961,303.8,20,1,4.5,8.13,2,1,1215.2,1207.07
69,70,2025,6,16,10523,4210,353.83,25,0,1.6,11.98,2,4,530.74,518.76
70,71,2023,12,6,36086,7349,546.11,5,0,1.0,17.16,3,2,1556.4,1539.24
71,72,2023,4,2,20938,2714,658.14,25,0,1.6,13.89,2,2,1480.8,1466.91
72,73,2024,1,2,24659,7762,303.7,0,0,2.1,17.35,2,4,1214.8,1197.45
73,74,2024,3,30,18809,2490,120.41,0,1,3.2,13.03,5,5,602.05,589.02
74,75,2024,3,3,25535,3177,489.91,15,0,3.2,10.47,4,1,2082.1,2071.63
75,76,2024,5,23,26298,6749,756.29,20,1,4.6,4.64,3,5,3025.15,3020.51
76,77,2025,2,14,33876,5700,157.61,15,0,3.5,22.76,3,3,267.94,245.18
77,78,2023,2,4,32264,5177,386.54,25,0,1.6,10.72,3,5,1449.55,1438.83
78,79,2023,7,25,23578,5205,47.49,5,0,2.2,13.06,2,4,180.48,167.42
79,80,2023,3,22,34285,1009,187.29,25,0,3.4,6.24,2,3,561.88,555.64
80,81,2024,7,15,24101,4767,464.34,15,1,2.3,11.1,3,1,1578.76,1567.66
81,82,2025,5,21,32730,3789,525.66,15,0,4.4,9.31,1,5,1340.43,1331.12
82,83,2024,1,23,37476,2422,170.76,20,0,3.3,21.51,3,4,273.22,251.71
83,84,2023,1,2,25503,1725,713.45,0,0,3.3,10.89,2,4,3567.25,3556.36
84,85,2024,1,25,21506,7682,594.0,5,0,3.0,3.14,3,3,1128.6,1125.46
85,86,2024,7,19,26169,2493,513.4,40,0,3.2,20.33,3,3,308.04,287.71
86,87,2023,4,16,28484,3708,129.73,10,0,4.5,2.57,4,1,233.52,230.95
87,88,2025,2,10,24838,2438,350.16,5,0,2.2,14.41,5,3,997.95,983.54
88,89,2025,4,1,38821,2724,655.92,0,0,2.6,18.18,1,2,3279.6,3261.42
89,90,2024,4,21,22737,6247,524.96,20,1,4.8,23.91,3,5,1259.91,1236.0
90,91,2024,12,3,45340,2505,7.41,15,0,4.6,3.09,3,5,18.9,15.81
91,92,2024,2,6,22171,4525,196.43,30,0,1.6,5.61,1,3,687.5,681.89
92,93,2024,12,30,23920,7412,590.34,15,0,3.2,11.99,4,5,2508.95,2496.96
93,94,2024,7,9,40805,5519,316.78,15,0,1.5,2.8,2,5,1346.3,1343.5
94,95,2023,6,11,26875,4598,359.82,15,1,3.0,11.35,4,3,305.85,294.5
95,96,2023,7,21,40278,5826,346.88,5,1,4.0,4.24,3,4,1318.16,1313.92
96,97,2023,9,27,48076,5987,587.82,15,1,3.5,23.0,3,1,999.3,976.3
97,98,2025,5,12,26905,5538,301.05,40,0,3.4,8.08,5,2,903.15,895.07
98,99,2025,3,26,11914,7366,584.65,10,0,3.5,2.47,2,2,2630.9,2628.43
99,100,2023,9,28,23862,4951,728.98,0,1,1.8,21.21,1,3,728.98,707.77
100,101,2024,3,31,12925,1425,115.94,20,0,2.1,24.33,2,2,278.25,253.92
101,102,2024,4,6,13290,1662,782.4,0,0,3.2,14.13,5,3,2347.2,2333.07
102,103,2024,12,27,29613,3879,273.31,25,0,3.1,13.94,5,5,819.92,805.98
103,104,2023,9,9,40570,3413,757.29,20,0,3.9,16.85,5,5,1817.49,1800.64
104,105,2024,12,2,29961,4170,387.64,15,0,1.4,20.87,5,2,988.47,967.6
105,106,2023,10,23,48377,7453,504.98,10,0,4.3,8.09,1,2,1363.44,1355.35
106,107,2024,12,25,12571,2543,632.6,25,0,3.1,3.34,1,4,1897.8,1894.46
107,108,2024,12,20,26616,3144,167.97,10,0,3.5,9.96,3,1,151.17,141.21
108,109,2025,1,18,29036,1582,283.64,10,1,1.6,22.61,5,5,1021.12,998.51
109,110,2023,12,4,43984,6091,260.65,0,0,3.1,6.92,1,3,781.95,775.03
110,111,2025,5,28,13539,4562,667.66,0,1,1.8,2.08,5,1,1335.32,1333.24
111,112,2023,2,22,43289,5492,27.76,10,0,2.7,11.08,2,4,74.94,63.86
112,113,2025,3,2,21026,7313,235.91,15,0,4.5,16.13,5,3,601.56,585.43
113,114,2023,8,5,29450,2182,340.94,25,0,2.6,11.27,3,2,1278.5,1267.23
114,115,2025,2,2,42022,3060,18.5,40,0,1.6,11.4,1,1,33.3,21.9
115,116,2023,7,7,21391,2826,276.93,15,0,4.3,11.92,4,1,706.17,694.25
116,117,2024,1,15,26724,6425,308.26,0,0,4.5,22.58,3,4,924.78,902.2
117,118,2024,5,7,22130,1326,110.06,10,0,2.0,12.61,4,4,396.2,383.59
118,119,2023,2,10,18250,7549,728.38,15,0,3.5,10.51,4,1,3095.6,3085.09
119,120,2023,6,6,46021,5007,683.51,15,0,1.6,3.66,3,4,1742.94,1739.28
120,121,2023,1,15,31065,2971,435.95,25,0,3.4,18.93,2,1,980.88,961.95
121,122,2025,3,23,42995,4208,787.55,40,0,4.8,21.03,3,1,472.53,451.5
122,123,2023,3,6,16703,4999,670.4,5,0,1.0,23.34,4,4,1910.64,1887.3
123,124,2025,5,6,39840,3530,48.27,30,0,4.8,7.4,3,2,168.95,161.55
124,125,2025,4,18,18318,5610,122.12,20,0,2.4,2.72,3,4,488.5,485.78
125,126,2024,6,4,14430,3068,174.9,25,0,3.1,11.21,5,4,393.54,382.33
126,127,2023,12,10,47621,4965,126.79,40,0,2.8,17.41,4,3,304.28,286.87
127,128,2023,5,9,19623,3296,487.92,30,0,2.7,14.61,4,4,1024.62,1010.01
128,129,2024,10,9,44936,4660,562.81,5,1,2.3,9.11,4,5,1604.01,1594.9
129,130,2024,4,16,40439,7496,721.56,20,0,1.3,21.86,5,1,2309.0,2287.14
130,131,2023,3,4,38535,3979,648.0,5,1,3.8,18.38,3,5,1846.8,1828.42
131,132,2023,5,19,45516,3313,130.6,5,0,1.0,22.15,3,4,496.28,474.13
132,133,2024,5,13,11593,2763,31.66,20,0,1.7,9.64,4,2,50.66,41.02
133,134,2024,8,15,38655,5497,359.92,25,0,4.5,15.93,5,2,809.82,793.89
134,135,2024,1,27,36606,2758,779.11,0,0,4.4,9.84,4,2,3895.55,3885.71
135,136,2024,11,5,25941,3796,368.88,15,1,2.2,10.35,4,5,627.1,616.75
136,137,2024,2,23,22552,1487,389.06,0,0,2.6,15.4,5,1,1167.18,1151.78
137,138,2023,10,16,34267,6376,540.46,20,0,4.5,18.0,4,3,864.74,846.74
138,139,2024,1,14,14777,1926,25.34,20,0,3.5,8.98,5,4,101.35,92.37
139,140,2025,2,11,49876,4993,632.68,40,1,1.1,9.77,1,5,379.61,369.84
140,141,2024,5,4,18438,1549,647.01,20,1,4.9,5.23,1,5,1552.83,1547.6
141,142,2023,8,19,39095,7838,283.02,10,0,4.0,6.6,5,1,1273.6,1267.0
142,143,2023,2,10,40507,7731,308.52,25,0,2.2,6.62,1,5,694.17,687.55
143,144,2023,1,28,23120,2962,129.81,40,0,3.3,4.18,1,5,389.45,385.27
144,145,2023,5,15,36057,2066,46.76,10,0,4.7,6.79,3,2,210.4,203.61
145,146,2023,7,20,42778,1955,765.06,5,0,1.3,2.06,5,2,3634.05,3631.99
146,147,2025,4,19,41066,3873,111.43,10,1,3.4,18.6,5,1,300.87,282.27
147,148,2025,2,18,28390,2739,752.34,0,0,1.7,24.26,5,5,1504.68,1480.42
148,149,2023,2,2,13529,4076,507.34,0,0,3.1,15.56,1,1,1014.68,999.12
149,150,2023,2,17,24584,6161,789.68,40,0,1.1,17.15,2,1,2369.05,2351.9
150,151,2024,5,17,32632,4515,364.04,20,0,1.7,3.33,5,1,873.69,870.36
151,152,2024,2,11,28673,7027,652.81,20,1,2.4,17.88,4,5,1044.5,1026.62
152,153,2024,7,27,13343,4469,207.22,15,0,2.1,7.27,2,4,880.7,873.43
153,154,2024,12,28,28950,1558,59.31,0,0,2.1,12.84,1,4,177.93,165.09
154,155,2025,3,15,44527,1565,553.21,5,0,1.7,18.49,3,4,1576.65,1558.16
155,156,2023,4,9,25064,2058,715.14,40,1,1.2,8.15,5,1,2145.4,2137.25
156,157,2024,11,14,31547,3427,56.3,5,0,1.0,15.43,3,2,267.4,251.97
157,158,2025,5,21,41769,1528,417.26,10,1,4.1,22.77,3,1,1502.12,1479.35
158,159,2024,12,26,44996,5482,537.43,10,0,1.1,22.36,3,3,2418.45,2396.09
159,160,2024,6,30,20390,7216,565.79,15,0,1.4,10.28,1,5,1923.68,1913.4
160,161,2025,1,8,21879,7075,43.85,5,0,4.5,7.83,3,5,83.32,75.49
161,162,2024,9,4,24935,5038,693.21,30,0,2.6,24.72,5,5,1941.0,1916.28
162,163,2024,4,6,42574,5415,262.28,10,0,1.4,3.81,3,1,236.05,232.24
163,164,2024,10,4,28127,3899,239.63,15,0,3.6,20.65,2,2,407.38,386.73
164,165,2025,2,7,19121,2980,57.24,15,0,4.0,10.64,3,1,145.95,135.31
165,166,2023,1,5,38507,4069,473.48,15,0,2.2,13.93,1,1,402.46,388.53
166,167,2023,8,6,44216,2355,331.39,0,1,4.4,23.69,5,4,331.39,307.7
167,168,2024,5,17,26582,3054,758.7,10,0,1.7,14.47,5,4,2048.49,2034.02
168,169,2025,2,5,36631,2500,95.86,30,0,4.8,7.56,5,5,201.3,193.74
169,170,2024,2,2,28164,3933,215.22,5,0,4.6,3.74,4,2,817.84,814.1
170,171,2025,5,20,31284,5413,209.3,15,0,3.9,9.89,5,1,533.7,523.81
171,172,2025,3,5,40646,4705,755.01,25,0,1.4,21.68,3,2,2265.04,2243.36
172,173,2024,1,28,30806,4089,125.56,30,0,4.4,5.77,1,1,263.67,257.9
173,174,2023,7,26,32097,4841,790.74,20,0,3.9,7.85,5,4,3162.95,3155.1
174,175,2023,1,15,21284,1687,726.3,25,0,4.2,5.46,4,1,544.72,539.26
175,176,2025,5,7,23857,5106,684.17,25,0,3.2,19.18,4,1,2052.52,2033.34
176,177,2024,7,7,29888,2817,477.94,25,0,3.7,17.76,4,1,1075.38,1057.62
177,178,2025,6,10,28951,6757,785.39,30,1,3.0,19.99,5,1,2199.08,2179.09
178,179,2024,4,5,31009,6266,236.28,40,0,2.5,16.32,5,5,283.54,267.22
179,180,2024,11,21,33474,1954,276.17,25,0,3.9,21.92,2,2,207.13,185.21
180,181,2024,7,28,24835,5837,571.48,20,0,2.6,17.48,4,5,2285.9,2268.42
181,182,2025,5,13,15352,6715,544.83,20,0,1.7,3.87,1,5,435.86,431.99
182,183,2025,1,12,36581,4589,669.35,15,0,3.9,24.15,4,3,1706.85,1682.7
183,184,2023,8,29,28941,5216,597.82,30,0,3.3,3.77,5,2,836.94,833.17
184,185,2024,7,17,43191,2088,537.02,15,0,4.2,18.37,1,4,1369.41,1351.04
185,186,2023,4,6,42917,3355,645.49,10,0,4.4,17.13,2,5,2904.7,2887.57
186,187,2025,6,18,38039,1769,789.41,40,0,4.4,4.95,2,1,2368.25,2363.3
187,188,2025,1,3,36089,4301,491.1,30,1,4.1,3.58,1,5,687.54,683.96
188,189,2024,4,29,39742,3088,418.12,25,1,3.0,6.64,4,3,940.77,934.13
189,190,2024,2,11,49833,4901,125.45,0,0,3.0,22.76,1,4,376.35,353.59
190,191,2023,8,19,21917,6207,319.73,10,1,3.3,9.94,1,3,1438.8,1428.86
191,192,2025,1,18,28254,7888,444.24,5,1,4.7,9.25,1,2,1688.12,1678.87
192,193,2024,10,16,28445,3853,42.55,15,0,2.8,24.85,2,4,36.17,11.32
193,194,2023,6,20,36571,7874,773.14,40,0,3.7,13.77,2,3,2319.4,2305.63
194,195,2024,6,24,42611,6405,71.94,30,0,4.5,12.05,3,1,100.72,88.67
195,196,2023,2,5,23830,3173,798.05,0,0,1.7,4.14,1,2,3192.2,3188.06
196,197,2024,6,8,47048,5744,200.66,30,0,4.4,20.76,3,5,421.38,400.62
197,198,2023,6,9,15696,1612,579.54,10,0,1.0,24.38,5,3,2607.95,2583.57
198,199,2025,4,18,10742,3319,388.6,20,0,4.1,14.0,5,2,1243.52,1229.52
199,200,2024,11,29,41262,2883,48.93,20,0,2.1,21.54,1,2,39.14,17.6
200,201,2023,8,31,46949,1843,180.0,0,0,4.4,22.89,2,2,720.0,697.11
201,202,2023,3,27,22425,1843,770.7,5,0,1.6,7.71,3,1,3660.8,3653.09
202,203,2025,3,6,44759,5088,420.36,20,0,1.7,6.52,4,5,336.29,329.77
203,204,2024,7,31,31640,2948,658.58,5,1,3.7,20.06,2,4,3128.25,3108.19
204,205,2024,11,12,46473,6490,723.59,30,0,1.9,19.11,4,3,2532.55,2513.44
205,206,2024,7,10,43784,7834,21.61,5,0,3.9,2.76,3,2,61.59,58.83
206,207,2024,7,27,18288,1212,578.85,20,1,4.4,14.18,4,3,1852.32,1838.14
207,208,2024,10,7,27378,1656,339.79,40,0,2.9,2.79,2,5,1019.35,1016.56
208,209,2025,3,6,36111,4744,90.89,40,0,1.6,18.11,2,2,218.12,200.01
209,210,2023,1,28,47293,6921,366.98,20,1,3.3,14.31,2,1,1174.32,1160.01
210,211,2024,9,11,47977,2113,756.22,15,0,3.2,19.78,4,4,1285.58,1265.8
211,212,2024,7,9,28306,7645,380.95,5,1,2.3,10.98,4,4,361.9,350.92
212,213,2023,12,6,44465,1913,190.18,40,0,1.5,17.9,4,1,342.33,324.43
213,214,2025,3,8,40360,2637,385.4,20,0,1.7,10.0,5,1,1233.28,1223.28
214,215,2023,11,27,21677,2624,371.39,15,0,3.1,18.6,1,1,947.04,928.44
215,216,2024,10,1,37136,7066,241.97,10,0,3.0,19.71,1,1,871.08,851.37
216,217,2024,5,20,28298,1225,406.41,15,0,4.0,12.43,1,5,1727.25,1714.82
217,218,2023,12,14,14753,5731,442.62,20,0,2.7,20.67,1,4,1416.4,1395.73
218,219,2024,4,17,16816,5145,213.32,5,1,1.3,4.98,2,1,405.3,400.32
219,220,2023,8,19,22168,5655,794.11,0,0,4.4,18.45,3,4,1588.22,1569.77
220,221,2023,7,9,18838,6420,297.85,15,0,2.7,9.19,5,4,253.17,243.98
221,222,2023,8,13,43565,3126,571.17,20,0,3.0,2.12,2,3,913.88,911.76
222,223,2024,1,20,34652,6974,738.82,25,0,3.0,2.19,1,2,2770.6,2768.41
223,224,2024,1,12,32608,2580,132.62,20,0,1.2,14.04,5,4,530.5,516.46
224,225,2023,10,10,26140,1837,128.45,0,0,3.2,16.86,1,4,128.45,111.59
225,226,2024,9,24,24092,1870,320.78,25,0,1.4,10.1,3,5,962.32,952.22
226,227,2024,9,19,33081,4873,657.3,15,1,3.9,21.03,3,4,2234.8,2213.77
227,228,2025,1,14,20875,2978,512.86,20,0,4.0,5.58,3,2,1641.16,1635.58
228,229,2023,9,16,35317,5729,364.85,30,1,2.1,9.27,1,3,255.4,246.13
229,230,2023,12,25,43993,7590,351.32,5,0,2.6,15.79,4,2,1335.0,1319.21
230,231,2024,12,10,41565,2622,474.49,25,0,2.9,8.6,2,3,1779.35,1770.75
231,232,2024,3,31,15566,4662,211.65,5,0,3.6,24.03,2,1,1005.35,981.32
232,233,2024,2,15,23603,6761,662.82,0,0,2.3,21.21,4,5,1988.46,1967.25
233,234,2024,10,10,48690,7949,257.01,0,0,2.6,24.21,5,5,1028.04,1003.83
234,235,2023,11,14,47804,5952,472.68,15,1,1.6,22.15,2,4,401.78,379.63
235,236,2024,11,7,12646,6099,38.36,5,0,2.9,23.37,2,2,182.2,158.83
236,237,2023,8,13,29115,4911,305.06,15,0,4.3,13.87,4,5,1037.2,1023.33
237,238,2025,3,29,39339,4643,549.46,20,0,4.7,21.87,2,3,1318.71,1296.84
238,239,2023,8,22,47462,3634,86.75,20,0,4.0,14.29,4,5,69.4,55.11
239,240,2024,11,14,48313,1540,618.88,40,0,3.3,2.75,5,1,1856.65,1853.9
240,241,2024,10,25,46449,5155,202.97,15,0,3.5,9.12,4,3,345.04,335.92
241,242,2025,4,6,43182,6188,720.78,40,1,2.1,12.97,2,5,1729.88,1716.91
242,243,2024,1,9,36118,6796,316.41,10,0,2.3,16.48,4,3,284.77,268.29
243,244,2024,11,2,35347,5691,617.99,10,0,2.6,19.62,3,1,556.19,536.57
244,245,2024,8,30,49967,5875,480.07,5,0,3.1,4.99,4,3,456.07,451.08
245,246,2024,4,16,35062,6118,337.51,5,0,4.3,18.91,4,5,641.26,622.35
246,247,2023,8,21,17532,1340,343.9,15,0,3.5,10.02,1,1,876.96,866.94
247,248,2024,11,22,32791,2700,32.62,5,0,2.0,22.15,1,4,30.99,8.84
248,249,2023,4,23,33693,2721,558.99,5,0,2.0,16.79,5,4,2655.2,2638.41
249,250,2025,4,9,18221,3614,670.34,10,0,3.6,20.24,1,4,1809.93,1789.69
250,251,2024,5,11,25234,2393,174.44,0,0,3.4,6.41,1,3,523.32,516.91
251,252,2024,3,17,18321,2556,656.57,0,0,4.1,8.09,5,5,1313.14,1305.05
252,253,2024,7,17,17945,6595,598.51,40,0,2.5,14.64,1,1,1795.55,1780.91
253,254,2023,9,25,15189,4956,705.78,40,0,3.6,9.02,4,3,1270.41,1261.39
254,255,2024,5,24,46982,7535,729.24,0,0,2.1,21.61,2,3,2187.72,2166.11
255,256,2025,3,17,12374,3413,206.8,10,0,2.0,22.19,4,1,186.12,163.93
256,257,2024,1,21,13983,2374,119.84,0,0,1.8,4.31,3,3,359.52,355.21
257,258,2024,1,22,21333,4906,705.89,20,0,3.1,4.11,3,1,1694.13,1690.02
258,259,2023,4,23,10207,6306,634.54,0,1,3.1,6.21,1,2,2538.16,2531.95
259,260,2024,9,4,19173,7268,26.05,30,0,3.6,24.24,1,3,91.2,66.96
260,261,2024,9,16,14302,5014,590.82,20,0,4.8,12.39,4,1,1890.64,1878.25
261,262,2023,3,22,49679,5436,272.6,25,0,1.1,16.53,5,2,204.45,187.92
262,263,2024,11,29,36747,3745,345.81,0,0,1.3,22.82,4,4,345.81,322.99
263,264,2023,4,23,10111,1624,485.12,0,0,3.3,12.97,4,3,2425.6,2412.63
264,265,2023,1,2,25566,5249,764.49,0,0,3.9,13.97,3,3,764.49,750.52
265,266,2024,10,3,41702,2548,89.21,5,0,4.9,12.21,1,3,84.75,72.54
266,267,2023,8,8,47477,4585,14.81,0,0,4.8,5.4,5,5,74.05,68.65
267,268,2024,7,19,31424,1240,525.4,25,0,1.1,4.04,3,2,1182.15,1178.11
268,269,2025,5,4,27793,3208,8.16,10,0,1.2,4.01,4,5,36.7,32.69
269,270,2025,1,5,18897,7174,794.98,40,0,1.3,12.36,4,3,476.99,464.63
270,271,2023,8,13,48640,2600,60.31,25,0,3.3,15.58,4,4,135.69,120.11
271,272,2024,1,20,24482,7325,381.38,5,0,4.4,8.73,5,4,1811.55,1802.82
272,273,2024,2,7,34516,5710,385.26,20,0,4.9,21.53,1,1,1541.05,1519.52
273,274,2024,9,29,37355,7772,210.76,15,0,1.3,6.9,5,1,179.15,172.25
274,275,2023,5,10,30583,7286,53.11,40,0,1.1,24.23,3,1,127.48,103.25
275,276,2023,2,22,26182,6459,600.32,5,0,3.3,18.3,1,3,1140.6,1122.3
276,277,2024,11,14,14857,2203,701.61,10,0,1.4,11.14,2,1,3157.25,3146.11
277,278,2024,12,30,41985,4398,256.98,20,0,3.7,22.45,3,2,1027.9,1005.45
278,279,2024,11,2,21166,1099,674.13,0,0,3.0,3.59,2,3,2696.52,2692.93
279,280,2024,12,10,17498,2194,729.45,40,1,4.0,3.44,2,5,875.34,871.9
280,281,2024,2,20,47807,6899,783.12,25,0,3.7,18.42,5,3,1174.68,1156.26
281,282,2023,9,4,35423,7660,560.99,25,0,4.3,5.27,3,1,841.48,836.21
282,283,2025,4,15,33084,7122,348.76,20,0,2.7,6.19,4,3,1116.04,1109.85
283,284,2024,3,14,43752,2157,677.35,40,0,2.1,2.4,1,5,812.82,810.42
284,285,2023,7,22,43875,4588,367.47,0,0,3.9,13.02,1,1,1469.88,1456.86
285,286,2023,7,3,20270,5524,626.81,20,0,1.0,16.49,4,1,1504.35,1487.86
286,287,2023,5,3,14342,5646,730.36,40,0,4.9,17.0,3,2,1752.88,1735.88
287,288,2024,2,5,11553,1238,515.24,0,0,3.4,20.92,2,1,515.24,494.32
288,289,2025,2,5,12002,7981,577.94,20,0,3.9,3.74,5,5,1387.05,1383.31
289,290,2023,10,21,34488,5853,601.36,20,0,1.8,6.22,2,1,962.18,955.96
290,291,2023,10,7,40743,4461,654.8,25,0,4.3,12.45,5,1,982.2,969.75
291,292,2025,4,16,11421,2866,277.63,15,0,1.5,3.28,3,2,235.99,232.71
292,293,2025,6,2,13474,2498,725.05,20,0,2.2,20.58,4,3,2320.16,2299.58
293,294,2024,9,1,35117,7671,714.93,5,0,3.7,10.11,4,1,1358.36,1348.25
294,295,2023,7,17,18980,5972,610.19,15,1,4.4,15.63,3,4,518.66,503.03
295,296,2024,5,25,19418,3005,13.29,5,0,2.5,17.26,4,1,25.26,8.0
296,297,2025,1,21,22390,5255,486.17,5,0,2.4,6.43,3,1,923.72,917.29
297,298,2023,5,24,32562,2304,679.7,10,1,1.5,21.03,5,4,1223.46,1202.43
298,299,2024,8,31,37971,6969,670.54,30,0,4.2,21.62,3,5,938.76,917.14
299,300,2023,7,20,38545,5178,687.27,25,0,4.2,17.09,3,1,515.45,498.36
300,301,2023,5,4,43299,4951,724.82,25,1,4.9,13.12,2,4,2718.1,2704.98
301,302,2023,7,6,44387,4549,725.25,5,0,2.6,23.74,4,4,2755.96,2732.22
